ticker,name,isin,exchange,sector,industry,market_data_ticker,country,universe
20MICRONS,20 Microns Limited,INE144J01027,NSE,Unclassified,Unclassified,20MICRONS.NS,IN,NSE_MAINBOARD
21STCENMGM,21st Century Management Services Limited,INE253B01015,NSE,Unclassified,Unclassified,21STCENMGM.NS,IN,NSE_MAINBOARD
360ONE,360 ONE WAM LIMITED,INE466L01038,NSE,Financial Services,Financial Services,360ONE.NS,IN,NSE_MAINBOARD
3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,NSE,Unclassified,Unclassified,3BBLACKBIO.NS,IN,NSE_MAINBOARD
3IINFOLTD,3i Infotech Limited,INE748C01038,NSE,Unclassified,Unclassified,3IINFOLTD.NS,IN,NSE_MAINBOARD
3MINDIA,3M India Limited,INE470A01017,NSE,Unclassified,Unclassified,3MINDIA.NS,IN,NSE_MAINBOARD
3PLAND,3P Land Holdings Limited,INE105C01023,NSE,Unclassified,Unclassified,3PLAND.NS,IN,NSE_MAINBOARD
5PAISA,5Paisa Capital Limited,INE618L01018,NSE,Unclassified,Unclassified,5PAISA.NS,IN,NSE_MAINBOARD
63MOONS,63 moons technologies limited,INE111B01023,NSE,Unclassified,Unclassified,63MOONS.NS,IN,NSE_MAINBOARD
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,NSE,Unclassified,Unclassified,A2ZINFRA.NS,IN,NSE_MAINBOARD
AAATECH,AAA Technologies Limited,INE0D0U01013,NSE,Unclassified,Unclassified,AAATECH.NS,IN,NSE_MAINBOARD
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,NSE,Unclassified,Unclassified,AADHARHFC.NS,IN,NSE_MAINBOARD
AAKASH,Aakash Exploration Services Limited,INE087Z01024,NSE,Unclassified,Unclassified,AAKASH.NS,IN,NSE_MAINBOARD
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,NSE,Unclassified,Unclassified,AAREYDRUGS.NS,IN,NSE_MAINBOARD
AARNAV,Aarnav Fashions Limited,INE750R01016,NSE,Unclassified,Unclassified,AARNAV.NS,IN,NSE_MAINBOARD
AARON,Aaron Industries Limited,INE721Z01010,NSE,Unclassified,Unclassified,AARON.NS,IN,NSE_MAINBOARD
AARTECH,Aartech Solonics Limited,INE01C001026,NSE,Unclassified,Unclassified,AARTECH.NS,IN,NSE_MAINBOARD
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,NSE,Unclassified,Unclassified,AARTIDRUGS.NS,IN,NSE_MAINBOARD
AARTIIND,Aarti Industries Limited,INE769A01020,NSE,Unclassified,Unclassified,AARTIIND.NS,IN,NSE_MAINBOARD
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,NSE,Unclassified,Unclassified,AARTIPHARM.NS,IN,NSE_MAINBOARD
AARTISURF,Aarti Surfactants Limited,INE09EO01013,NSE,Unclassified,Unclassified,AARTISURF.NS,IN,NSE_MAINBOARD
AARVI,Aarvi Encon Limited,INE754X01016,NSE,Unclassified,Unclassified,AARVI.NS,IN,NSE_MAINBOARD
AASTHA,Aastha Spintex Limited,INE2FMX01012,NSE,Unclassified,Unclassified,AASTHA.NS,IN,NSE_MAINBOARD
AAVAS,Aavas Financiers Limited,INE216P01012,NSE,Unclassified,Unclassified,AAVAS.NS,IN,NSE_MAINBOARD
ABAN,Aban Offshore Limited,INE421A01028,NSE,Unclassified,Unclassified,ABAN.NS,IN,NSE_MAINBOARD
ABANSENT,Abans Enterprises Limited,INE365O01028,NSE,Unclassified,Unclassified,ABANSENT.NS,IN,NSE_MAINBOARD
ABB,ABB India Limited,INE117A01022,NSE,Capital Goods,Capital Goods,ABB.NS,IN,NSE_MAINBOARD
ABBOTINDIA,Abbott India Limited,INE358A01014,NSE,Unclassified,Unclassified,ABBOTINDIA.NS,IN,NSE_MAINBOARD
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,NSE,Financial Services,Financial Services,ABCAPITAL.NS,IN,NSE_MAINBOARD
ABCOTS,A B Cotspin India Limited,INE08PH01015,NSE,Unclassified,Unclassified,ABCOTS.NS,IN,NSE_MAINBOARD
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,NSE,Unclassified,Unclassified,ABDL.NS,IN,NSE_MAINBOARD
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,NSE,Unclassified,Unclassified,ABFRL.NS,IN,NSE_MAINBOARD
ABINFRA,A B Infrabuild Limited,INE00YB01025,NSE,Unclassified,Unclassified,ABINFRA.NS,IN,NSE_MAINBOARD
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,NSE,Unclassified,Unclassified,ABLBL.NS,IN,NSE_MAINBOARD
ABMINTLLTD,ABM International Limited,INE251C01025,NSE,Unclassified,Unclassified,ABMINTLLTD.NS,IN,NSE_MAINBOARD
ABMKNO,ABM Knowledgeware Limited,INE850B01026,NSE,Unclassified,Unclassified,ABMKNO.NS,IN,NSE_MAINBOARD
ABREL,Aditya Birla Real Estate Limited,INE055A01016,NSE,Unclassified,Unclassified,ABREL.NS,IN,NSE_MAINBOARD
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,NSE,Unclassified,Unclassified,ABSLAMC.NS,IN,NSE_MAINBOARD
ACC,ACC Limited,INE012A01025,NSE,Unclassified,Unclassified,ACC.NS,IN,NSE_MAINBOARD
ACCELYA,Accelya Solutions India Limited,INE793A01012,NSE,Unclassified,Unclassified,ACCELYA.NS,IN,NSE_MAINBOARD
ACCURACY,Accuracy Shipping Limited,INE648Z01023,NSE,Unclassified,Unclassified,ACCURACY.NS,IN,NSE_MAINBOARD
ACE,Action Construction Equipment Limited,INE731H01025,NSE,Unclassified,Unclassified,ACE.NS,IN,NSE_MAINBOARD
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,NSE,Unclassified,Unclassified,ACEINTEG.NS,IN,NSE_MAINBOARD
ACI,Archean Chemical Industries Limited,INE128X01021,NSE,Unclassified,Unclassified,ACI.NS,IN,NSE_MAINBOARD
ACL,Andhra Cements Limited,INE666E01020,NSE,Unclassified,Unclassified,ACL.NS,IN,NSE_MAINBOARD
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,NSE,Unclassified,Unclassified,ACMESOLAR.NS,IN,NSE_MAINBOARD
ACSTECH,ACS Technologies Limited,INE366C01021,NSE,Unclassified,Unclassified,ACSTECH.NS,IN,NSE_MAINBOARD
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,NSE,Unclassified,Unclassified,ACUTAAS.NS,IN,NSE_MAINBOARD
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,NSE,Power,Power,ADANIENSOL.NS,IN,NSE_MAINBOARD
ADANIENT,Adani Enterprises Limited,INE423A01024,NSE,Metals & Mining,Metals & Mining,ADANIENT.NS,IN,NSE_MAINBOARD
ADANIGREEN,Adani Green Energy Limited,INE364U01010,NSE,Power,Power,ADANIGREEN.NS,IN,NSE_MAINBOARD
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,NSE,Services,Services,ADANIPORTS.NS,IN,NSE_MAINBOARD
ADANIPOWER,Adani Power Limited,INE814H01029,NSE,Power,Power,ADANIPOWER.NS,IN,NSE_MAINBOARD
ADFFOODS,ADF Foods Limited,INE982B01027,NSE,Unclassified,Unclassified,ADFFOODS.NS,IN,NSE_MAINBOARD
